sep=,
"time","metric"," "
2025-05-14 08:00:00,Student,464 K
2025-05-14 08:00:00,Unknown,13.1 K
2025-05-14 09:00:00,Faculty,98.5 K
2025-05-14 09:00:00,Member,33.3 K
2025-05-14 09:00:00,Staff,2.40 Mil
2025-05-14 09:00:00,Student,889 K
2025-05-14 09:00:00,Unknown,44.8 K
2025-05-14 10:00:00,Faculty,340 K
2025-05-14 10:00:00,Staff,2.92 Mil
2025-05-14 10:00:00,Student,2.29 Mil
2025-05-14 10:00:00,Unknown,53.9 K
2025-05-14 11:00:00,Faculty,234 K
2025-05-14 11:00:00,Staff,1.80 Mil
2025-05-14 11:00:00,Student,2.63 Mil
2025-05-14 11:00:00,Unknown,249 K
2025-05-14 12:00:00,Faculty,135 K
2025-05-14 12:00:00,Staff,390 K
2025-05-14 12:00:00,Student,2.12 Mil
2025-05-14 12:00:00,Unknown,250 K
2025-05-14 13:00:00,Faculty,445 K
2025-05-14 13:00:00,Staff,806 K
2025-05-14 13:00:00,Student,4.02 Mil
2025-05-14 13:00:00,Unknown,407 K
2025-05-14 14:00:00,Alum,25.7 K
2025-05-14 14:00:00,Faculty,561 K
2025-05-14 14:00:00,Staff,293 K
2025-05-14 14:00:00,Student,6.05 Mil
2025-05-14 14:00:00,Unknown,210 K
2025-05-14 15:00:00,Faculty,56.4 K
2025-05-14 15:00:00,Member,9.74 K
2025-05-14 15:00:00,Staff,540 K
2025-05-14 15:00:00,Student,3.55 Mil
2025-05-14 15:00:00,Unknown,225 K
2025-05-14 16:00:00,Faculty,72.9 K
2025-05-14 16:00:00,Member,5.09 K
2025-05-14 16:00:00,Staff,625 K
2025-05-14 16:00:00,Student,2.52 Mil
2025-05-14 16:00:00,Unknown,548 K
2025-05-14 17:00:00,Faculty,23.6 K
2025-05-14 17:00:00,Staff,45.9 K
2025-05-14 17:00:00,Student,2.21 Mil
2025-05-14 17:00:00,Unknown,433 K
2025-05-14 18:00:00,Faculty,243
2025-05-14 18:00:00,Member,97
