sep=,
"time","metric"," "
2025-05-19 08:00:00,Student,791 K
2025-05-19 09:00:00,Faculty,134 K
2025-05-19 09:00:00,Member,8.13 K
2025-05-19 09:00:00,Staff,112 K
2025-05-19 09:00:00,Student,675 K
2025-05-19 09:00:00,Unknown,273
2025-05-19 10:00:00,Alum,465 K
2025-05-19 10:00:00,Faculty,71.2 K
2025-05-19 10:00:00,Staff,375 K
2025-05-19 10:00:00,Student,1.26 Mil
2025-05-19 10:00:00,Unknown,59.0 K
2025-05-19 11:00:00,Alum,315 K
2025-05-19 11:00:00,Faculty,2.82 Mil
2025-05-19 11:00:00,Staff,963 K
2025-05-19 11:00:00,Student,1.67 Mil
2025-05-19 11:00:00,Unknown,13.5 K
2025-05-19 12:00:00,Faculty,12.7 K
2025-05-19 12:00:00,Member,508
2025-05-19 12:00:00,Staff,521 K
2025-05-19 12:00:00,Student,1.54 Mil
2025-05-19 12:00:00,Unknown,48.1 K
2025-05-19 13:00:00,Faculty,33.3 K
2025-05-19 13:00:00,Staff,1.83 Mil
2025-05-19 13:00:00,Student,2.36 Mil
2025-05-19 13:00:00,Unknown,107 K
2025-05-19 14:00:00,Faculty,40.6 K
2025-05-19 14:00:00,Staff,1.02 Mil
2025-05-19 14:00:00,Student,3.49 Mil
2025-05-19 14:00:00,Unknown,132 K
2025-05-19 15:00:00,Faculty,4.45 Mil
2025-05-19 15:00:00,Staff,504 K
2025-05-19 15:00:00,Student,2.42 Mil
2025-05-19 15:00:00,Unknown,39.7 K
2025-05-19 16:00:00,Alum,3.24 K
2025-05-19 16:00:00,Faculty,4.89 Mil
2025-05-19 16:00:00,Staff,1.04 Mil
2025-05-19 16:00:00,Student,3.32 Mil
2025-05-19 16:00:00,Unknown,156 K
2025-05-19 17:00:00,Faculty,4.60 Mil
2025-05-19 17:00:00,Staff,58.5 K
2025-05-19 17:00:00,Student,2.25 Mil
2025-05-19 17:00:00,Unknown,58.4 K
2025-05-19 18:00:00,Faculty,6.01 Mil
2025-05-19 18:00:00,Member,522
2025-05-19 18:00:00,Staff,113 K
2025-05-19 18:00:00,Student,2.15 Mil
2025-05-19 18:00:00,Unknown,33.2 K
2025-05-19 19:00:00,Staff,231 K
2025-05-19 19:00:00,Student,1.47 Mil
2025-05-19 19:00:00,Unknown,172 K
2025-05-19 20:00:00,Faculty,19.0 K
2025-05-19 20:00:00,Member,29.4 K
2025-05-19 20:00:00,Staff,7.91 K
2025-05-19 20:00:00,Student,2.28 Mil
2025-05-19 20:00:00,Unknown,1.56 Mil
2025-05-19 21:00:00,Faculty,145 K
2025-05-19 21:00:00,Member,42.1 K
2025-05-19 21:00:00,Staff,34.6 K
2025-05-19 21:00:00,Student,3.90 Mil
2025-05-19 21:00:00,Unknown,1.89 Mil
2025-05-19 22:00:00,Faculty,296 K
2025-05-19 22:00:00,Staff,340 K
2025-05-19 22:00:00,Student,4.15 Mil
2025-05-19 22:00:00,Unknown,654 K
2025-05-19 23:00:00,Faculty,231 K
2025-05-19 23:00:00,Staff,243 K
2025-05-19 23:00:00,Student,2.86 Mil
2025-05-19 23:00:00,Unknown,84.0 K
2025-05-20 00:00:00,Faculty,249 K
2025-05-20 00:00:00,Staff,50.4 K
2025-05-20 00:00:00,Student,914 K
2025-05-20 00:00:00,Unknown,140 K
2025-05-20 01:00:00,Faculty,3.31 Mil
2025-05-20 01:00:00,Student,1.31 Mil
2025-05-20 01:00:00,Unknown,8.83 K
2025-05-20 02:00:00,Faculty,3.27 Mil
2025-05-20 02:00:00,Member,212 K
2025-05-20 02:00:00,Student,325 K
2025-05-20 02:00:00,Unknown,11.9 K
2025-05-20 03:00:00,Member,9.32 K
2025-05-20 03:00:00,Student,240 K
2025-05-20 04:00:00,Member,250 K
2025-05-20 04:00:00,Student,69.8 K
2025-05-20 05:00:00,Faculty,2.62 K
2025-05-20 05:00:00,Member,2.73 K
2025-05-20 05:00:00,Staff,4.48 K
2025-05-20 05:00:00,Student,101 K
2025-05-20 06:00:00,Faculty,2.20 K
2025-05-20 06:00:00,Staff,3.46 K
2025-05-20 06:00:00,Student,67.9 K
2025-05-20 06:00:00,Unknown,2.17 K
2025-05-20 07:00:00,Faculty,7.80 K
2025-05-20 07:00:00,Staff,1.19 Mil
2025-05-20 07:00:00,Student,43.3 K
2025-05-20 07:00:00,Unknown,9.44 K
2025-05-20 08:00:00,Faculty,23.0 K
2025-05-20 08:00:00,Staff,496 K
2025-05-20 08:00:00,Student,213 K
2025-05-20 08:00:00,Unknown,143 K
2025-05-20 09:00:00,Faculty,116 K
2025-05-20 09:00:00,Member,1.77 K
2025-05-20 09:00:00,Staff,1.03 Mil
2025-05-20 09:00:00,Student,347 K
2025-05-20 09:00:00,Unknown,191 K
2025-05-20 10:00:00,Faculty,12.3 Mil
2025-05-20 10:00:00,Member,1.64 K
2025-05-20 10:00:00,Staff,3.89 Mil
2025-05-20 10:00:00,Student,1.26 Mil
2025-05-20 10:00:00,Unknown,137 K
2025-05-20 11:00:00,Faculty,4.66 Mil
2025-05-20 11:00:00,Member,1.07 K
2025-05-20 11:00:00,Staff,2.92 Mil
2025-05-20 11:00:00,Student,1.56 Mil
2025-05-20 11:00:00,Unknown,208 K
2025-05-20 12:00:00,Faculty,207 K
2025-05-20 12:00:00,Member,28.8 K
2025-05-20 12:00:00,Staff,3.06 Mil
2025-05-20 12:00:00,Student,1.60 Mil
2025-05-20 12:00:00,Unknown,59.5 K
2025-05-20 13:00:00,Alum,30.3 K
2025-05-20 13:00:00,Faculty,101 K
2025-05-20 13:00:00,Member,28.8 K
2025-05-20 13:00:00,Staff,1.94 Mil
2025-05-20 13:00:00,Student,3.01 Mil
2025-05-20 13:00:00,Unknown,377 K
2025-05-20 14:00:00,Faculty,125 K
2025-05-20 14:00:00,Member,1.84 K
2025-05-20 14:00:00,Staff,2.65 Mil
2025-05-20 14:00:00,Student,3.52 Mil
2025-05-20 14:00:00,Unknown,147 K
2025-05-20 15:00:00,Faculty,118 K
2025-05-20 15:00:00,Member,1.82 K
2025-05-20 15:00:00,Staff,1.41 Mil
2025-05-20 15:00:00,Student,1.87 Mil
2025-05-20 15:00:00,Unknown,54.3 K
2025-05-20 16:00:00,Faculty,554 K
2025-05-20 16:00:00,Member,1.21 K
2025-05-20 16:00:00,Staff,1.05 Mil
2025-05-20 16:00:00,Student,2.46 Mil
2025-05-20 16:00:00,Unknown,439 K
2025-05-20 17:00:00,Faculty,203 K
2025-05-20 17:00:00,Member,1.71 K
2025-05-20 17:00:00,Staff,124 K
2025-05-20 17:00:00,Student,2.16 Mil
2025-05-20 17:00:00,Unknown,529 K
2025-05-20 18:00:00,Faculty,424 K
2025-05-20 18:00:00,Member,1.59 K
2025-05-20 18:00:00,Staff,13.2 K
2025-05-20 18:00:00,Student,866 K
2025-05-20 18:00:00,Unknown,121 K
2025-05-20 19:00:00,Faculty,156 K
2025-05-20 19:00:00,Member,54.0 K
2025-05-20 19:00:00,Staff,112 K
2025-05-20 19:00:00,Student,1.19 Mil
2025-05-20 19:00:00,Unknown,129 K
2025-05-20 20:00:00,Alum,24.0 K
2025-05-20 20:00:00,Faculty,137 K
2025-05-20 20:00:00,Member,31.3 K
2025-05-20 20:00:00,Staff,8.91 K
2025-05-20 20:00:00,Student,3.38 Mil
2025-05-20 20:00:00,Unknown,2.80 Mil
2025-05-20 21:00:00,Alum,8.09 K
2025-05-20 21:00:00,Faculty,3.31 Mil
2025-05-20 21:00:00,Member,83.0 K
2025-05-20 21:00:00,Staff,135 K
2025-05-20 21:00:00,Student,2.27 Mil
2025-05-20 21:00:00,Unknown,814 K
2025-05-20 22:00:00,Faculty,354 K
2025-05-20 22:00:00,Member,99.6 K
2025-05-20 22:00:00,Staff,141 K
2025-05-20 22:00:00,Student,4.15 Mil
2025-05-20 22:00:00,Unknown,220 K
2025-05-20 23:00:00,Faculty,717 K
2025-05-20 23:00:00,Member,3.92 K
2025-05-20 23:00:00,Student,2.23 Mil
2025-05-20 23:00:00,Unknown,360 K
2025-05-21 00:00:00,ExEmployee,14.1 K
2025-05-21 00:00:00,Member,1.33 K
2025-05-21 00:00:00,Student,1.47 Mil
2025-05-21 00:00:00,Unknown,58.6 K
2025-05-21 01:00:00,Member,2.26 K
2025-05-21 01:00:00,Student,1.31 Mil
2025-05-21 01:00:00,Unknown,1.72 K
2025-05-21 02:00:00,Faculty,294
2025-05-21 02:00:00,Member,118 K
2025-05-21 02:00:00,Student,1.10 Mil
2025-05-21 02:00:00,Unknown,144 K
2025-05-21 03:00:00,Member,146 K
2025-05-21 03:00:00,Student,1.50 Mil
2025-05-21 03:00:00,Unknown,29.6 K
2025-05-21 04:00:00,Member,169 K
2025-05-21 04:00:00,Student,347 K
2025-05-21 04:00:00,Unknown,508 K
2025-05-21 05:00:00,Faculty,623
2025-05-21 05:00:00,Member,83.7 K
2025-05-21 05:00:00,Student,221 K
2025-05-21 06:00:00,Faculty,649
2025-05-21 06:00:00,Member,317 K
2025-05-21 06:00:00,Staff,3.21 K
2025-05-21 06:00:00,Student,155 K
2025-05-21 06:00:00,Unknown,14.3 K
2025-05-21 07:00:00,Faculty,17.5 K
2025-05-21 07:00:00,Member,95.2 K
2025-05-21 07:00:00,Staff,14.1 K
2025-05-21 07:00:00,Student,282 K
2025-05-21 07:00:00,Unknown,485 K
2025-05-21 08:00:00,Faculty,23.2 K
2025-05-21 08:00:00,Member,103 K
2025-05-21 08:00:00,Staff,88.1 K
2025-05-21 08:00:00,Student,760 K
2025-05-21 08:00:00,Unknown,201 K
2025-05-21 09:00:00,Faculty,40.3 K
2025-05-21 09:00:00,Member,99.3 K
2025-05-21 09:00:00,Staff,446 K
2025-05-21 09:00:00,Student,1.41 Mil
2025-05-21 09:00:00,Unknown,453 K
2025-05-21 10:00:00,Faculty,99.3 K
2025-05-21 10:00:00,Member,140 K
2025-05-21 10:00:00,Staff,520 K
2025-05-21 10:00:00,Student,2.16 Mil
2025-05-21 10:00:00,Unknown,373 K
2025-05-21 11:00:00,Faculty,110 K
2025-05-21 11:00:00,Member,136 K
2025-05-21 11:00:00,Staff,291 K
2025-05-21 11:00:00,Student,1.82 Mil
2025-05-21 11:00:00,Unknown,1.13 Mil
2025-05-21 12:00:00,ExEmployee,14.4 K
2025-05-21 12:00:00,Faculty,124 K
2025-05-21 12:00:00,Member,87.5 K
2025-05-21 12:00:00,Staff,56.0 K
2025-05-21 12:00:00,Student,1.95 Mil
2025-05-21 12:00:00,Unknown,368 K
2025-05-21 13:00:00,Alum,15.2 K
2025-05-21 13:00:00,Faculty,236 K
2025-05-21 13:00:00,Member,58.7 K
2025-05-21 13:00:00,Staff,375 K
2025-05-21 13:00:00,Student,3.60 Mil
2025-05-21 13:00:00,Unknown,182 K
2025-05-21 14:00:00,Faculty,181 K
2025-05-21 14:00:00,Member,53.5 K
2025-05-21 14:00:00,Staff,815 K
2025-05-21 14:00:00,Student,2.30 Mil
2025-05-21 14:00:00,Unknown,185 K
2025-05-21 15:00:00,Faculty,95.9 K
2025-05-21 15:00:00,Member,95.3 K
2025-05-21 15:00:00,Staff,1.43 Mil
2025-05-21 15:00:00,Student,2.81 Mil
2025-05-21 15:00:00,Unknown,50.0 K
2025-05-21 16:00:00,Faculty,290 K
2025-05-21 16:00:00,Member,285 K
2025-05-21 16:00:00,Staff,75.5 K
2025-05-21 16:00:00,Student,1.68 Mil
2025-05-21 16:00:00,Unknown,201 K
2025-05-21 17:00:00,Faculty,591 K
2025-05-21 17:00:00,Member,2.39 K
2025-05-21 17:00:00,Staff,46.2 K
2025-05-21 17:00:00,Student,1.76 Mil
2025-05-21 17:00:00,Unknown,118 K
2025-05-21 18:00:00,Faculty,603 K
2025-05-21 18:00:00,Member,1.68 K
2025-05-21 18:00:00,Student,2.11 Mil
2025-05-21 19:00:00,Faculty,79.3 K
2025-05-21 19:00:00,Member,1.28 K
2025-05-21 19:00:00,Staff,13.3 K
2025-05-21 19:00:00,Student,2.11 Mil
2025-05-21 19:00:00,Unknown,161 K
2025-05-21 20:00:00,Faculty,116 K
2025-05-21 20:00:00,Member,12.8 K
2025-05-21 20:00:00,Staff,75.7 K
2025-05-21 20:00:00,Student,3.26 Mil
2025-05-21 20:00:00,Unknown,2.63 Mil
2025-05-21 21:00:00,Faculty,45.8 K
2025-05-21 21:00:00,Member,11.6 K
2025-05-21 21:00:00,Staff,69.9 K
2025-05-21 21:00:00,Student,2.03 Mil
2025-05-21 21:00:00,Unknown,132 K
2025-05-21 22:00:00,Faculty,247 K
2025-05-21 22:00:00,Member,4.36 K
2025-05-21 22:00:00,Staff,5.30 K
2025-05-21 22:00:00,Student,1.42 Mil
2025-05-21 22:00:00,Unknown,738 K
2025-05-21 23:00:00,Faculty,107 K
2025-05-21 23:00:00,Member,105 K
2025-05-21 23:00:00,Student,3.89 Mil
2025-05-21 23:00:00,Unknown,610 K
2025-05-22 00:00:00,Faculty,120 K
2025-05-22 00:00:00,Member,147 K
2025-05-22 00:00:00,Student,3.62 Mil
2025-05-22 00:00:00,Unknown,461 K
2025-05-22 01:00:00,Faculty,2.35 K
2025-05-22 01:00:00,Member,22.6 K
2025-05-22 01:00:00,Staff,276
2025-05-22 01:00:00,Student,1.25 Mil
2025-05-22 01:00:00,Unknown,76.9 K
2025-05-22 02:00:00,Faculty,4.14 K
2025-05-22 02:00:00,Member,101 K
2025-05-22 02:00:00,Student,691 K
2025-05-22 02:00:00,Unknown,37.5 K
2025-05-22 03:00:00,Member,4.89 K
2025-05-22 03:00:00,Student,33.9 K
2025-05-22 03:00:00,Unknown,104 K
2025-05-22 04:00:00,Member,1.77 K
2025-05-22 04:00:00,Staff,2.51 K
2025-05-22 04:00:00,Student,266 K
2025-05-22 04:00:00,Unknown,3.97 K
2025-05-22 05:00:00,Member,1.85 K
2025-05-22 05:00:00,Student,4.67 K
2025-05-22 06:00:00,Faculty,340
2025-05-22 06:00:00,Member,6.09 K
2025-05-22 06:00:00,Student,34.8 K
2025-05-22 06:00:00,Unknown,88.5 K
2025-05-22 07:00:00,Faculty,44.1 K
2025-05-22 07:00:00,Member,6.59 K
2025-05-22 07:00:00,Staff,17.6 K
2025-05-22 07:00:00,Student,6.72 K
2025-05-22 08:00:00,Faculty,116 K
2025-05-22 08:00:00,Member,14.5 K
2025-05-22 08:00:00,Staff,167 K
2025-05-22 08:00:00,Student,677 K
2025-05-22 08:00:00,Unknown,36.4 K
2025-05-22 09:00:00,Faculty,2.22 K
2025-05-22 09:00:00,Member,70.6 K
2025-05-22 09:00:00,Staff,402 K
2025-05-22 09:00:00,Student,1.49 Mil
2025-05-22 09:00:00,Unknown,227 K
2025-05-22 10:00:00,Faculty,127 K
2025-05-22 10:00:00,Member,75.3 K
2025-05-22 10:00:00,Staff,698 K
2025-05-22 10:00:00,Student,1.94 Mil
2025-05-22 10:00:00,Unknown,261 K
2025-05-22 11:00:00,Faculty,98.3 K
2025-05-22 11:00:00,Member,121 K
2025-05-22 11:00:00,Staff,290 K
2025-05-22 11:00:00,Student,2.86 Mil
2025-05-22 11:00:00,Unknown,62.5 K
2025-05-22 12:00:00,Faculty,45.5 K
2025-05-22 12:00:00,Member,2.72 K
2025-05-22 12:00:00,Staff,1.09 Mil
2025-05-22 12:00:00,Student,1.55 Mil
2025-05-22 12:00:00,Unknown,123 K
2025-05-22 13:00:00,Faculty,23.6 K
2025-05-22 13:00:00,Member,1.71 K
2025-05-22 13:00:00,Staff,302 K
2025-05-22 13:00:00,Student,2.28 Mil
2025-05-22 13:00:00,Unknown,638 K
2025-05-22 14:00:00,Faculty,332 K
2025-05-22 14:00:00,Member,1.96 K
2025-05-22 14:00:00,Staff,1.36 Mil
2025-05-22 14:00:00,Student,2.26 Mil
2025-05-22 14:00:00,Unknown,204 K
2025-05-22 15:00:00,Faculty,81.8 K
2025-05-22 15:00:00,Member,1.46 K
2025-05-22 15:00:00,Staff,994 K
2025-05-22 15:00:00,Student,2.37 Mil
2025-05-22 15:00:00,Unknown,207 K
2025-05-22 16:00:00,Faculty,92.9 K
2025-05-22 16:00:00,Member,1.39 K
2025-05-22 16:00:00,Staff,715 K
2025-05-22 16:00:00,Student,1.91 Mil
2025-05-22 16:00:00,Unknown,822 K
2025-05-22 17:00:00,Faculty,40.2 K
2025-05-22 17:00:00,Member,1.41 K
2025-05-22 17:00:00,Staff,76.8 K
2025-05-22 17:00:00,Student,2.36 Mil
2025-05-22 17:00:00,Unknown,144 K
2025-05-22 18:00:00,Faculty,146 K
2025-05-22 18:00:00,Member,1.85 K
2025-05-22 18:00:00,Staff,42.3 K
2025-05-22 18:00:00,Student,3.06 Mil
2025-05-22 18:00:00,Unknown,140 K
2025-05-22 19:00:00,Faculty,289 K
2025-05-22 19:00:00,Member,1.71 K
2025-05-22 19:00:00,Staff,1.60 Mil
2025-05-22 19:00:00,Student,2.31 Mil
2025-05-22 19:00:00,Unknown,115 K
2025-05-22 20:00:00,Faculty,12.8 K
2025-05-22 20:00:00,Member,7.98 K
2025-05-22 20:00:00,Staff,22.4 K
2025-05-22 20:00:00,Student,1.76 Mil
2025-05-22 20:00:00,Unknown,571 K
2025-05-22 21:00:00,Faculty,52.9 K
2025-05-22 21:00:00,Member,1.79 K
2025-05-22 21:00:00,Staff,29.4 K
2025-05-22 21:00:00,Student,3.21 Mil
2025-05-22 21:00:00,Unknown,2.10 Mil
2025-05-22 22:00:00,Faculty,4.09 K
2025-05-22 22:00:00,Member,1.81 K
2025-05-22 22:00:00,Student,2.69 Mil
2025-05-22 22:00:00,Unknown,385 K
2025-05-22 23:00:00,Alum,3.14 K
2025-05-22 23:00:00,Member,1.75 K
2025-05-22 23:00:00,Staff,216 K
2025-05-22 23:00:00,Student,2.16 Mil
2025-05-22 23:00:00,Unknown,313 K
2025-05-23 00:00:00,Faculty,27.8 K
2025-05-23 00:00:00,Member,1.75 K
2025-05-23 00:00:00,Staff,140 K
2025-05-23 00:00:00,Student,2.11 Mil
2025-05-23 00:00:00,Unknown,123 K
2025-05-23 01:00:00,Member,1.73 K
2025-05-23 01:00:00,Staff,6.38 K
2025-05-23 01:00:00,Student,399 K
2025-05-23 01:00:00,Unknown,246 K
2025-05-23 02:00:00,Member,1.73 K
2025-05-23 02:00:00,Student,315 K
2025-05-23 02:00:00,Unknown,548 K
2025-05-23 03:00:00,Member,3.44 K
2025-05-23 03:00:00,Staff,2.37 K
2025-05-23 03:00:00,Student,747 K
2025-05-23 03:00:00,Unknown,199 K
2025-05-23 04:00:00,Faculty,14.5 K
2025-05-23 04:00:00,Member,10.3 K
2025-05-23 04:00:00,Staff,2.58 K
2025-05-23 04:00:00,Student,52.1 K
2025-05-23 04:00:00,Unknown,107 K
2025-05-23 05:00:00,Faculty,20.4 K
2025-05-23 05:00:00,Member,14.4 K
2025-05-23 05:00:00,Student,24.5 K
2025-05-23 06:00:00,Faculty,3.96 K
2025-05-23 06:00:00,Member,2.14 K
2025-05-23 06:00:00,Staff,2.02 K
2025-05-23 06:00:00,Student,81.8 K
2025-05-23 06:00:00,Unknown,8.50 K
2025-05-23 07:00:00,Faculty,31.3 K
2025-05-23 07:00:00,Member,1.86 K
2025-05-23 07:00:00,Staff,537
2025-05-23 07:00:00,Student,234 K
2025-05-23 08:00:00,Faculty,117 K
2025-05-23 08:00:00,Member,1.50 K
2025-05-23 08:00:00,Staff,535 K
2025-05-23 08:00:00,Student,808 K
2025-05-23 08:00:00,Unknown,6.71 K
2025-05-23 09:00:00,Faculty,68.5 K
2025-05-23 09:00:00,Member,1.84 K
2025-05-23 09:00:00,Staff,969 K
2025-05-23 09:00:00,Student,2.21 Mil
2025-05-23 09:00:00,Unknown,76.4 K
2025-05-23 10:00:00,Faculty,218 K
2025-05-23 10:00:00,Member,4.56 K
2025-05-23 10:00:00,Staff,528 K
2025-05-23 10:00:00,Student,3.58 Mil
2025-05-23 10:00:00,Unknown,356 K
2025-05-23 11:00:00,Faculty,285 K
2025-05-23 11:00:00,Member,6.66 K
2025-05-23 11:00:00,Staff,428 K
2025-05-23 11:00:00,Student,2.34 Mil
2025-05-23 11:00:00,Unknown,466 K
2025-05-23 12:00:00,Faculty,289 K
2025-05-23 12:00:00,Member,2.49 K
2025-05-23 12:00:00,Staff,371 K
2025-05-23 12:00:00,Student,3.15 Mil
2025-05-23 12:00:00,Unknown,334 K
2025-05-23 13:00:00,Faculty,670 K
2025-05-23 13:00:00,Member,2.30 K
2025-05-23 13:00:00,Staff,224 K
2025-05-23 13:00:00,Student,4.81 Mil
2025-05-23 13:00:00,Unknown,259 K
2025-05-23 14:00:00,Faculty,442 K
2025-05-23 14:00:00,Member,2.49 K
2025-05-23 14:00:00,Staff,763 K
2025-05-23 14:00:00,Student,1.62 Mil
2025-05-23 14:00:00,Unknown,267 K
2025-05-23 15:00:00,Faculty,68.0 K
2025-05-23 15:00:00,Member,1.89 K
2025-05-23 15:00:00,Staff,434 K
2025-05-23 15:00:00,Student,2.28 Mil
2025-05-23 15:00:00,Unknown,84.2 K
2025-05-23 16:00:00,Faculty,26.9 K
2025-05-23 16:00:00,Member,1.72 K
2025-05-23 16:00:00,Staff,966 K
2025-05-23 16:00:00,Student,1.97 Mil
2025-05-23 16:00:00,Unknown,20.3 K
2025-05-23 17:00:00,Faculty,533 K
2025-05-23 17:00:00,Member,3.91 K
2025-05-23 17:00:00,Staff,3.93 K
2025-05-23 17:00:00,Student,1.24 Mil
2025-05-23 17:00:00,Unknown,84.4 K
2025-05-23 18:00:00,Faculty,40.2 K
2025-05-23 18:00:00,Member,1.44 K
2025-05-23 18:00:00,Staff,67.0 K
2025-05-23 18:00:00,Student,2.88 Mil
2025-05-23 18:00:00,Unknown,24.1 K
2025-05-23 19:00:00,Member,1.87 K
2025-05-23 19:00:00,Staff,2.19 K
2025-05-23 19:00:00,Student,1.76 Mil
2025-05-23 19:00:00,Unknown,70.6 K
2025-05-23 20:00:00,Faculty,320 K
2025-05-23 20:00:00,Member,1.40 K
2025-05-23 20:00:00,Staff,4.73 K
2025-05-23 20:00:00,Student,2.05 Mil
2025-05-23 20:00:00,Unknown,1.11 Mil
2025-05-23 21:00:00,Faculty,88.1 K
2025-05-23 21:00:00,Member,14.9 K
2025-05-23 21:00:00,Staff,3.44 K
2025-05-23 21:00:00,Student,4.17 Mil
2025-05-23 21:00:00,Unknown,1.77 Mil
2025-05-23 22:00:00,Faculty,24.0 K
2025-05-23 22:00:00,Member,1.34 K
2025-05-23 22:00:00,Staff,38.2 K
2025-05-23 22:00:00,Student,2.35 Mil
2025-05-23 22:00:00,Unknown,185 K
2025-05-23 23:00:00,Faculty,21.1 K
2025-05-23 23:00:00,Member,1.84 K
2025-05-23 23:00:00,Student,2.51 Mil
2025-05-23 23:00:00,Unknown,27.4 K
2025-05-24 00:00:00,Member,1.95 K
2025-05-24 00:00:00,Student,878 K
2025-05-24 00:00:00,Unknown,28.4 K
2025-05-24 01:00:00,Member,1.78 K
2025-05-24 01:00:00,Student,357 K
2025-05-24 01:00:00,Unknown,11.3 K
2025-05-24 02:00:00,Member,573 K
2025-05-24 02:00:00,Student,271 K
2025-05-24 02:00:00,Unknown,22.4 K
2025-05-24 03:00:00,Alum,4.43 K
2025-05-24 03:00:00,Faculty,8.94 K
2025-05-24 03:00:00,Member,168 K
2025-05-24 03:00:00,Student,408 K
2025-05-24 04:00:00,Member,1.31 K
2025-05-24 04:00:00,Student,1.36 Mil
2025-05-24 05:00:00,Member,1.40 K
2025-05-24 05:00:00,Student,1.21 K
2025-05-24 06:00:00,Faculty,41.0 K
2025-05-24 06:00:00,Member,1.79 K
2025-05-24 06:00:00,Student,1.49 K
2025-05-24 07:00:00,Faculty,7.59 K
2025-05-24 07:00:00,Member,10.1 K
2025-05-24 07:00:00,Staff,6.22 K
2025-05-24 08:00:00,Faculty,28.2 K
2025-05-24 08:00:00,Member,1.79 K
2025-05-24 08:00:00,Staff,7.79 K
2025-05-24 08:00:00,Student,25.7 K
2025-05-24 09:00:00,Faculty,28.8 K
2025-05-24 09:00:00,Member,1.80 K
2025-05-24 09:00:00,Staff,51.4 K
2025-05-24 09:00:00,Student,563 K
2025-05-24 10:00:00,Alum,77.7 K
2025-05-24 10:00:00,Faculty,54.2 K
2025-05-24 10:00:00,Member,1.24 K
2025-05-24 10:00:00,Staff,2.73 K
2025-05-24 10:00:00,Student,436 K
2025-05-24 11:00:00,Faculty,12.6 K
2025-05-24 11:00:00,Member,1.42 K
2025-05-24 11:00:00,Student,3.94 Mil
2025-05-24 12:00:00,Faculty,27.4 K
2025-05-24 12:00:00,Member,1.89 K
2025-05-24 12:00:00,Staff,11.9 K
2025-05-24 12:00:00,Student,933 K
2025-05-24 12:00:00,Unknown,67.3 K
2025-05-24 13:00:00,Member,1.51 K
2025-05-24 13:00:00,Staff,262 K
2025-05-24 13:00:00,Student,1.96 Mil
2025-05-24 13:00:00,Unknown,85.8 K
2025-05-24 14:00:00,Faculty,22.9 K
2025-05-24 14:00:00,Member,1.76 K
2025-05-24 14:00:00,Staff,740 K
2025-05-24 14:00:00,Student,3.78 Mil
2025-05-24 14:00:00,Unknown,105 K
2025-05-24 15:00:00,Faculty,157 K
2025-05-24 15:00:00,Member,1.93 K
2025-05-24 15:00:00,Staff,17.8 K
2025-05-24 15:00:00,Student,4.69 Mil
2025-05-24 15:00:00,Unknown,293 K
2025-05-24 16:00:00,Faculty,86.6 K
2025-05-24 16:00:00,Member,1.74 K
2025-05-24 16:00:00,Student,3.43 Mil
2025-05-24 16:00:00,Unknown,209 K
2025-05-24 17:00:00,Faculty,76.6 K
2025-05-24 17:00:00,Member,2.26 K
2025-05-24 17:00:00,Student,2.81 Mil
2025-05-24 17:00:00,Unknown,97.9 K
2025-05-24 18:00:00,Member,5.99 K
2025-05-24 18:00:00,Staff,75.1 K
2025-05-24 18:00:00,Student,1.25 Mil
2025-05-24 18:00:00,Unknown,6.47 K
2025-05-24 19:00:00,Faculty,3.71 K
2025-05-24 19:00:00,Member,1.89 K
2025-05-24 19:00:00,Staff,45.7 K
2025-05-24 19:00:00,Student,1.11 Mil
2025-05-24 19:00:00,Unknown,156 K
2025-05-24 20:00:00,Faculty,3.60 K
2025-05-24 20:00:00,Member,1.97 K
2025-05-24 20:00:00,Staff,5.21 K
2025-05-24 20:00:00,Student,2.38 Mil
2025-05-24 20:00:00,Unknown,2.48 Mil
2025-05-24 21:00:00,Faculty,6.26 K
2025-05-24 21:00:00,Member,1.66 K
2025-05-24 21:00:00,Staff,310
2025-05-24 21:00:00,Student,2.67 Mil
2025-05-24 21:00:00,Unknown,1.65 Mil
2025-05-24 22:00:00,Faculty,303 K
2025-05-24 22:00:00,Member,1.30 K
2025-05-24 22:00:00,Student,1.15 Mil
2025-05-24 22:00:00,Unknown,8.98 K
2025-05-24 23:00:00,Faculty,240 K
2025-05-24 23:00:00,Member,1.82 K
2025-05-24 23:00:00,Student,2.01 Mil
2025-05-24 23:00:00,Unknown,18.7 K
2025-05-25 00:00:00,Faculty,19.5 K
2025-05-25 00:00:00,Member,1.86 K
2025-05-25 00:00:00,Student,1.32 Mil
2025-05-25 00:00:00,Unknown,50.3 K
2025-05-25 01:00:00,Member,1.70 K
2025-05-25 01:00:00,Student,1.28 Mil
2025-05-25 01:00:00,Unknown,35.0 K
2025-05-25 02:00:00,Member,1.30 K
2025-05-25 02:00:00,Student,710 K
2025-05-25 02:00:00,Unknown,132 K
2025-05-25 03:00:00,Member,1.73 K
2025-05-25 03:00:00,Student,478 K
2025-05-25 03:00:00,Unknown,171 K
2025-05-25 04:00:00,Member,1.66 K
2025-05-25 04:00:00,Student,211 K
2025-05-25 04:00:00,Unknown,10.9 K
2025-05-25 05:00:00,Member,1.81 K
2025-05-25 05:00:00,Student,41.2 K
